card_name,grader,grade,snapshot_date,population
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-10-28,441
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-11-27,38
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-11-27,215
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-11-27,446
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-11-27,444
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-12-27,38
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-12-27,216
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-12-27,450
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-12-27,447
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-01-26,38
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-01-26,218
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-01-26,453
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2026-01-26,450
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-02-25,39
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-02-25,219
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-02-25,456
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2026-02-25,453
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-03-27,39
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-03-27,221
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-03-27,459
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2026-03-27,456
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-04-26,39
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-04-26,222
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-04-26,462
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2026-04-26,460
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-05-26,40
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-05-26,224
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-05-26,466
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2026-05-26,463
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-06-25,42
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-06-25,235
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-06-25,489
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2026-06-25,486
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-07-25,44
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-07-25,247
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-07-25,513
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2026-07-25,510
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2025-05-31,41
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2025-05-31,176
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2025-05-31,421
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2025-05-31,354
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2025-06-30,41
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2025-06-30,178
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2025-06-30,424
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2025-06-30,357
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2025-07-30,41
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2025-07-30,179
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2025-07-30,427
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2025-07-30,360
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2025-08-29,42
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2025-08-29,180
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2025-08-29,431
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2025-08-29,363
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2025-09-28,42
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2025-09-28,182
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2025-09-28,434
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2025-09-28,366
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2025-10-28,42
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2025-10-28,183
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2025-10-28,438
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2025-10-28,369
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2025-11-27,43
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2025-11-27,185
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2025-11-27,441
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2025-11-27,372
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2025-12-27,43
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2025-12-27,186
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2025-12-27,445
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2025-12-27,375
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2026-01-26,43
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2026-01-26,188
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2026-01-26,448
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2026-01-26,378
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2026-02-25,44
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2026-02-25,189
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2026-02-25,452
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2026-02-25,381
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2026-03-27,44
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2026-03-27,191
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2026-03-27,455
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2026-03-27,384
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2026-04-26,44
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2026-04-26,192
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2026-04-26,459
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2026-04-26,387
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2026-05-26,45
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2026-05-26,194
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2026-05-26,463
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2026-05-26,390
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2026-06-25,45
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2026-06-25,195
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2026-06-25,466
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2026-06-25,393
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_8,2026-07-25,45
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_9_2,2026-07-25,197
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_6_5,2026-07-25,470
Fullmetal Alchemist Vol. 1 (1st Printing),cgc,cgc_4_0,2026-07-25,396
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2025-05-31,50
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2025-05-31,204
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2025-05-31,507
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2025-05-31,410
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2025-06-30,51
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2025-06-30,205
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2025-06-30,510
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2025-06-30,412
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2025-07-30,51
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2025-07-30,206
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2025-07-30,512
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2025-07-30,414
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2025-08-29,51
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2025-08-29,207
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2025-08-29,515
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2025-08-29,416
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2025-09-28,51
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2025-09-28,208
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2025-09-28,517
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2025-09-28,418
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2025-10-28,52
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2025-10-28,209
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2025-10-28,520
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2025-10-28,420
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2025-11-27,52
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2025-11-27,210
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2025-11-27,523
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2025-11-27,422
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2025-12-27,52
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2025-12-27,211
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2025-12-27,525
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2025-12-27,424
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2026-01-26,52
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2026-01-26,212
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2026-01-26,528
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2026-01-26,426
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2026-02-25,53
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2026-02-25,213
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2026-02-25,530
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2026-02-25,428
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2026-03-27,53
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2026-03-27,214
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2026-03-27,533
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2026-03-27,431
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2026-04-26,53
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2026-04-26,215
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2026-04-26,536
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2026-04-26,433
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2026-05-26,54
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2026-05-26,216
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2026-05-26,538
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2026-05-26,435
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2026-06-25,54
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2026-06-25,217
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2026-06-25,541
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2026-06-25,437
Death Note Vol. 1 (1st Printing),cgc,cgc_9_8,2026-07-25,54
Death Note Vol. 1 (1st Printing),cgc,cgc_9_2,2026-07-25,219
Death Note Vol. 1 (1st Printing),cgc,cgc_6_5,2026-07-25,544
Death Note Vol. 1 (1st Printing),cgc,cgc_4_0,2026-07-25,439
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-05-31,45
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-05-31,232
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-05-31,622
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-05-31,322
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-06-30,46
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-06-30,233
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-06-30,626
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-06-30,324
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-07-30,46
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-07-30,234
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-07-30,629
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-07-30,325
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-08-29,46
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-08-29,235
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-08-29,632
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-08-29,327
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-09-28,46
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-09-28,237
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-09-28,635
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-09-28,329
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-10-28,46
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-10-28,238
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-10-28,638
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-10-28,330
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-11-27,47
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-11-27,239
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-11-27,641
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-11-27,332
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-12-27,47
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-12-27,240
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-12-27,645
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-12-27,333
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-01-26,47
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-01-26,241
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-01-26,648
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2026-01-26,335
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-02-25,47
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-02-25,243
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-02-25,651
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_4_0,2026-02-25,337
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_8,2026-03-27,48
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_9_2,2026-03-27,244
Slam Dunk Vol. 1 (1st Printing),cgc,cgc_6_5,2026-03-27,654
